55,3062,Solar Panel 1,,,2011-11-02 00:00:00,4,,,,,,,,175,40,OPERATIONAL,0101000020E610000000000000000008C08FC2F5285CEF4A40,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
56,3800,Solar Panel 2,,,2012-01-18 00:00:00,49.82,,,,,,,,180,18,OPERATIONAL,0101000020E6100000000000000000E03F295C8FC2F5284A40,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
57,7115,Solar Panel 3,,,2013-03-17 00:00:00,3.92,,,,,,,,180,30,OPERATIONAL,0101000020E61000000AD7A3703D0AF7BF8FC2F5285C6F4B40,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
58,7497,Solar Panel 4,,,2013-04-09 00:00:00,49.35,,,,,,,,245,10,OPERATIONAL,0101000020E610000033333333333315C0B81E85EB51184940,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
59,8712,Solar Panel 5,,,2013-12-04 00:00:00,199.5,,,,,,,,180,20,OPERATIONAL,0101000020E61000007B14AE47E17AA4BF0AD7A3703D6A4A40,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
60,9992,Solar Panel 6,,,2014-01-30 00:00:00,3.92,,,,,,,,207,25,OPERATIONAL,0101000020E6100000AE47E17A14AE0BC048E17A14AEA74A40,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
61,10618,Solar Panel 7,,,2014-06-24 00:00:00,59,,,,,,,,130,15,OPERATIONAL,0101000020E610000048E17A14AE47E9BFC3F5285C8F024A40,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
62,17446,Solar Panel 8,,,2015-06-09 00:00:00,55.125,,,,,,,,45,10,OPERATIONAL,0101000020E61000005C8FC2F5285CF7BFF6285C8FC2754940,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
63,19064,Solar Panel 9,,,2015-09-10 00:00:00,126,,,,,,,,270,5,OPERATIONAL,0101000020E6100000F6285C8FC2F5E03F1F85EB51B8DE4940,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
64,23524,Solar Panel 10,,,2016-11-17 00:00:00,155,,,,,,,,180,25,OPERATIONAL,0101000020E6100000713D0AD7A370CD3FAE47E17A14CE4940,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
65,24696,Solar Panel 11,,,2016-11-17 00:00:00,91.26,,,,,,,,180,30,OPERATIONAL,0101000020E6100000E17A14AE47E1CABF8FC2F5285CCF4A40,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
66,24865,Solar Panel 12,,,2016-11-17 00:00:00,215,,,,,,,,180,20,OPERATIONAL,0101000020E610000085EB51B81E85DB3F14AE47E17A944940,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
67,24962,Solar Panel 13,,,2016-11-17 00:00:00,138,,,,,,,,118,15,OPERATIONAL,0101000020E610000052B81E85EB51F43F7B14AE47E19A4940,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
68,24964,Solar Panel 14,,,2016-11-18 00:00:00,77,,,,,,,,157,20,OPERATIONAL,0101000020E6100000A4703D0AD7A3C03F14AE47E17AB44940,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
69,26754,Solar Panel 15,,,2016-11-17 00:00:00,3.5,,,,,,,,121,30,OPERATIONAL,0101000020E6100000C3F5285C8FC20BC07B14AE47E1FA4B40,,2025-02-24 21:13:49.062409,2025-02-24 21:13:49.062409
